"concentration_regime","hhi","hours_coordination","mkr_movilizado","n_lock_events","n_voters","participation_tier","spell_address","top1_share_pct","total_mkr","ts_lift","ts_propose","kappa_coord","whale_present","micro_spell","year","post_sky","log_kappa","log_mkr","log_hours"
"moderate_concentration",6638.39876556467,48.022778,51.5808430420771,3,3,"small","0x0121724b014d207d61d7243b797f1f599c8fe955",78.9564001537122,51.5808430420771,2021-01-20 23:15:28,2021-01-18 23:14:06,2477.05537446251,0,0,2021,0,7.81522940837303,3.96235185268551,3.89228504724087
"moderate_concentration",6766.7296496182,48.168333,51.0858430420771,2,2,"small","0xb16cd7b7445323a487358b3cb21cf2fc38ec4fd1",79.7214539484376,51.0858430420771,2021-01-21 16:14:58,2021-01-19 16:04:52,2460.7198992365,0,0,2021,0,7.80861553066878,3.95289318519535,3.89524977806288
"moderate_concentration",5592.57854390555,48.023889,5938.01329710868,4,3,"medium","0x737e94aa226c9100f79dc2a8c5981d5ee29f5ece",67.362597553422,5938.01329710868,2021-01-27 01:03:47,2021-01-25 01:02:21,285166.491460871,0,0,2021,0,12.5608319759654,8.68929828696077,3.89230770991843
"moderate_concentration",5097.47950408918,48.071111,16.2608699392049,3,3,"small","0xe4365db41166a79d8d6a971db064509674e0ed3f",65.032092887296,16.2608699392049,2021-02-04 15:04:38,2021-02-02 15:00:22,781.67808380408,0,0,2021,0,6.6627214796574,2.84844208642482,3.89327049097043
"moderate_concentration",5262.82298907279,107.674444,5532.51307497191,5,4,"medium","0x024e44e282e0a317a230690eaf7cf1f466ed1544",63.2623900309132,5532.51307497191,2021-02-15 14:00:09,2021-02-11 02:19:41,595710.269270331,0,0,2021,0,13.2975113811319,8.61857816857761,4.6883566606897
"high_concentration",7743.08497981495,48.173333,532.175074971911,2,2,"medium","0x8657d9618b6c52255b5a66583b136b6e3470de68",87.0343420342184,532.175074971911,2021-02-15 19:25:55,2021-02-13 19:15:31,25636.6471009218,0,0,2021,0,10.1518171400891,6.27884984109772,3.89535146436143
"high_concentration",10000,48.041389,20,1,1,"small","0x15477d8d8cfac8db8f0e22931ad9bdf8fa5cd9b2",100,20,2021-02-25 15:11:40,2021-02-23 15:09:11,960.82778,0,0,2021,0,6.86883541177018,3.04452243772342,3.89266461504414
"high_concentration",9087.40507527186,48.009722,1784.86987131704,5,5,"medium","0xb4cd15d9b1f6b78d7103d546414d22ac78989b66",95.2450387178976,1784.86987131704,2021-03-03 16:19:39,2021-03-01 16:19:04,85691.1063281066,0,0,2021,0,11.3585159921535,7.4876608983772,3.8920186865936
"moderate_concentration",4022.34105491438,48.017778,154.834332881428,6,6,"medium","0xd76b708f9c824316ee248118eda069f8a6305106",44.8963335930603,154.834332881428,2021-03-04 15:17:18,2021-03-02 15:16:14,7434.80062307851,0,0,2021,0,8.9140615360933,5.04879347425243,3.89218304863523
"high_concentration",10000,51.815833,21.3,1,1,"small","0xc4f8a241016573ea779eca369a45a497881158d8",100,21.3,2021-03-09 14:00:39,2021-03-07 10:11:42,1103.6772429,0,0,2021,0,7.00730848341258,3.10458667846607,3.96681101318521
